model,dataset,total_loss,cross_loss,auc_train,auc_valid,auc_test,seed,epoch,num_trials,valid_acc_mean,valid_acc_std,test_acc_mean,test_acc_std,valid_auc_mean,valid_auc_std,test_auc_mean,test_auc_std,extra_ucn,use_emb,pool_graph,num_layer,num_channel

cgn_pool,percolate-plus,0.0013380050659179688,0.0013380050659179688,1.0,0.9894000000000001,0.9753999999999999,1,139,3,0.8883333333333333,0.03055050463303896,0.8850000000000001,0.03278719262151003,0.9662333333333334,0.0286482692903661,0.9613999999999999,0.023817010727629113,0,32,hierarchy,3,32

model,dataset,total_loss,cross_loss,auc_train,auc_valid,auc_test,seed,epoch,num_trials,valid_acc_mean,valid_acc_std,test_acc_mean,test_acc_std,valid_auc_mean,valid_auc_std,test_auc_mean,test_auc_std,extra_ucn,use_emb,pool_graph,num_layer,num_channel

cgn_pool,percolate-plus,0.0013380050659179688,0.0013380050659179688,1.0,0.9894000000000001,0.9753999999999999,1,139,3,0.8883333333333333,0.03055050463303896,0.8850000000000001,0.03278719262151003,0.9662333333333334,0.0286482692903661,0.9613999999999999,0.023817010727629113,0,32,hierarchy,3,32

cgn_pool,percolate-plus,0.0018950223457068205,0.0018950223457068205,1.0,0.9521999999999999,0.9367999999999999,0,96,3,0.8516666666666667,0.057518113089124655,0.8033333333333333,0.04725815626252606,0.9067666666666666,0.05087438779320426,0.8896000000000001,0.058393235909649586,10,32,hierarchy,3,32

model,dataset,total_loss,cross_loss,auc_train,auc_valid,auc_test,seed,epoch,num_trials,valid_acc_mean,valid_acc_std,test_acc_mean,test_acc_std,valid_auc_mean,valid_auc_std,test_auc_mean,test_auc_std,extra_ucn,use_emb,pool_graph,num_layer,num_channel

cgn_pool,percolate-plus,0.0013380050659179688,0.0013380050659179688,1.0,0.9894000000000001,0.9753999999999999,1,139,3,0.8883333333333333,0.03055050463303896,0.8850000000000001,0.03278719262151003,0.9662333333333334,0.0286482692903661,0.9613999999999999,0.023817010727629113,0,32,hierarchy,3,32

cgn_pool,percolate-plus,0.0018950223457068205,0.0018950223457068205,1.0,0.9521999999999999,0.9367999999999999,0,96,3,0.8516666666666667,0.057518113089124655,0.8033333333333333,0.04725815626252606,0.9067666666666666,0.05087438779320426,0.8896000000000001,0.058393235909649586,10,32,hierarchy,3,32

cgn_pool,percolate-plus,0.0,0.0,1.0,0.9451,0.9393,0,372,3,0.8483333333333333,0.03752776749732564,0.8533333333333334,0.022546248764114492,0.9198666666666666,0.04189992044542968,0.9248666666666666,0.023627173621348252,20,32,hierarchy,3,32

model,dataset,total_loss,cross_loss,auc_train,auc_valid,auc_test,seed,epoch,num_trials,valid_acc_mean,valid_acc_std,test_acc_mean,test_acc_std,valid_auc_mean,valid_auc_std,test_auc_mean,test_auc_std,extra_ucn,use_emb,pool_graph,num_layer,num_channel

cgn_pool,percolate-plus,0.0013380050659179688,0.0013380050659179688,1.0,0.9894000000000001,0.9753999999999999,1,139,3,0.8883333333333333,0.03055050463303896,0.8850000000000001,0.03278719262151003,0.9662333333333334,0.0286482692903661,0.9613999999999999,0.023817010727629113,0,32,hierarchy,3,32

cgn_pool,percolate-plus,0.0018950223457068205,0.0018950223457068205,1.0,0.9521999999999999,0.9367999999999999,0,96,3,0.8516666666666667,0.057518113089124655,0.8033333333333333,0.04725815626252606,0.9067666666666666,0.05087438779320426,0.8896000000000001,0.058393235909649586,10,32,hierarchy,3,32

cgn_pool,percolate-plus,0.0,0.0,1.0,0.9451,0.9393,0,372,3,0.8483333333333333,0.03752776749732564,0.8533333333333334,0.022546248764114492,0.9198666666666666,0.04189992044542968,0.9248666666666666,0.023627173621348252,20,32,hierarchy,3,32

cgn_pool,percolate-plus,4.7683716530855236e-08,4.7683716530855236e-08,1.0,0.9845,0.9315999999999999,1,354,3,0.9033333333333333,0.02466441431158126,0.8666666666666666,0.02020725942163692,0.9672000000000001,0.022923568657606513,0.9443333333333332,0.012149622765062897,30,32,hierarchy,3,32

model,dataset,total_loss,cross_loss,auc_train,auc_valid,auc_test,seed,epoch,num_trials,valid_acc_mean,valid_acc_std,test_acc_mean,test_acc_std,valid_auc_mean,valid_auc_std,test_auc_mean,test_auc_std,extra_ucn,use_emb,pool_graph,num_layer,num_channel

cgn_pool,percolate-plus,0.0013380050659179688,0.0013380050659179688,1.0,0.9894000000000001,0.9753999999999999,1,139,3,0.8883333333333333,0.03055050463303896,0.8850000000000001,0.03278719262151003,0.9662333333333334,0.0286482692903661,0.9613999999999999,0.023817010727629113,0,32,hierarchy,3,32

cgn_pool,percolate-plus,0.0018950223457068205,0.0018950223457068205,1.0,0.9521999999999999,0.9367999999999999,0,96,3,0.8516666666666667,0.057518113089124655,0.8033333333333333,0.04725815626252606,0.9067666666666666,0.05087438779320426,0.8896000000000001,0.058393235909649586,10,32,hierarchy,3,32

cgn_pool,percolate-plus,0.0,0.0,1.0,0.9451,0.9393,0,372,3,0.8483333333333333,0.03752776749732564,0.8533333333333334,0.022546248764114492,0.9198666666666666,0.04189992044542968,0.9248666666666666,0.023627173621348252,20,32,hierarchy,3,32

cgn_pool,percolate-plus,4.7683716530855236e-08,4.7683716530855236e-08,1.0,0.9845,0.9315999999999999,1,354,3,0.9033333333333333,0.02466441431158126,0.8666666666666666,0.02020725942163692,0.9672000000000001,0.022923568657606513,0.9443333333333332,0.012149622765062897,30,32,hierarchy,3,32

