model,dataset,total_loss,cross_loss,auc_train,auc_valid,auc_test,seed,epoch,num_trials,valid_acc_mean,valid_acc_std,test_acc_mean,test_acc_std,valid_auc_mean,valid_auc_std,test_auc_mean,test_auc_std,extra_ucn,num_layer,l1_loss_lambda,num_channel

mlp,percolate-plus,1.0737617015838623,0.6900081038475037,0.6642444444444445,0.6563,0.6854,0,1,3,0.5166666666666667,0.028867513459481315,0.52,0.034641016151377574,0.6513166666666667,0.004486182489972186,0.6389666666666667,0.0564726777595443,0,3,0.01,64

model,dataset,total_loss,cross_loss,auc_train,auc_valid,auc_test,seed,epoch,num_trials,valid_acc_mean,valid_acc_std,test_acc_mean,test_acc_std,valid_auc_mean,valid_auc_std,test_auc_mean,test_auc_std,extra_ucn,num_layer,l1_loss_lambda,num_channel

mlp,percolate-plus,1.0737617015838623,0.6900081038475037,0.6642444444444445,0.6563,0.6854,0,1,3,0.5166666666666667,0.028867513459481315,0.52,0.034641016151377574,0.6513166666666667,0.004486182489972186,0.6389666666666667,0.0564726777595443,0,3,0.01,64

mlp,percolate-plus,0.6951736211776733,0.6931483149528503,0.5398277777777778,0.63815,0.5859000000000001,1,52,3,0.5,0.0,0.5,0.0,0.6221833333333333,0.0261117470371734,0.5584666666666668,0.03961478049078823,10,3,0.01,64

model,dataset,total_loss,cross_loss,auc_train,auc_valid,auc_test,seed,epoch,num_trials,valid_acc_mean,valid_acc_std,test_acc_mean,test_acc_std,valid_auc_mean,valid_auc_std,test_auc_mean,test_auc_std,extra_ucn,num_layer,l1_loss_lambda,num_channel

mlp,percolate-plus,1.0737617015838623,0.6900081038475037,0.6642444444444445,0.6563,0.6854,0,1,3,0.5166666666666667,0.028867513459481315,0.52,0.034641016151377574,0.6513166666666667,0.004486182489972186,0.6389666666666667,0.0564726777595443,0,3,0.01,64

mlp,percolate-plus,0.6951736211776733,0.6931483149528503,0.5398277777777778,0.63815,0.5859000000000001,1,52,3,0.5,0.0,0.5,0.0,0.6221833333333333,0.0261117470371734,0.5584666666666668,0.03961478049078823,10,3,0.01,64

mlp,percolate-plus,0.6959156394004822,0.6932083964347839,0.5254944444444445,0.6231,0.5604,1,65,3,0.5,0.0,0.5,0.0,0.6111,0.01886961843811366,0.5006166666666667,0.05772400569376085,20,3,0.01,64

model,dataset,total_loss,cross_loss,auc_train,auc_valid,auc_test,seed,epoch,num_trials,valid_acc_mean,valid_acc_std,test_acc_mean,test_acc_std,valid_auc_mean,valid_auc_std,test_auc_mean,test_auc_std,extra_ucn,num_layer,l1_loss_lambda,num_channel

mlp,percolate-plus,1.0737617015838623,0.6900081038475037,0.6642444444444445,0.6563,0.6854,0,1,3,0.5166666666666667,0.028867513459481315,0.52,0.034641016151377574,0.6513166666666667,0.004486182489972186,0.6389666666666667,0.0564726777595443,0,3,0.01,64

mlp,percolate-plus,0.6951736211776733,0.6931483149528503,0.5398277777777778,0.63815,0.5859000000000001,1,52,3,0.5,0.0,0.5,0.0,0.6221833333333333,0.0261117470371734,0.5584666666666668,0.03961478049078823,10,3,0.01,64

mlp,percolate-plus,0.6959156394004822,0.6932083964347839,0.5254944444444445,0.6231,0.5604,1,65,3,0.5,0.0,0.5,0.0,0.6111,0.01886961843811366,0.5006166666666667,0.05772400569376085,20,3,0.01,64

mlp,percolate-plus,0.6993786096572876,0.6958950161933899,0.5200555555555555,0.6544000000000001,0.5375,2,92,3,0.5,0.0,0.5,0.0,0.6384500000000001,0.0168643855506212,0.5083333333333333,0.03671843315466137,30,3,0.01,64

model,dataset,total_loss,cross_loss,auc_train,auc_valid,auc_test,seed,epoch,num_trials,valid_acc_mean,valid_acc_std,test_acc_mean,test_acc_std,valid_auc_mean,valid_auc_std,test_auc_mean,test_auc_std,extra_ucn,num_layer,l1_loss_lambda,num_channel

mlp,percolate-plus,1.0737617015838623,0.6900081038475037,0.6642444444444445,0.6563,0.6854,0,1,3,0.5166666666666667,0.028867513459481315,0.52,0.034641016151377574,0.6513166666666667,0.004486182489972186,0.6389666666666667,0.0564726777595443,0,3,0.01,64

mlp,percolate-plus,0.6951736211776733,0.6931483149528503,0.5398277777777778,0.63815,0.5859000000000001,1,52,3,0.5,0.0,0.5,0.0,0.6221833333333333,0.0261117470371734,0.5584666666666668,0.03961478049078823,10,3,0.01,64

mlp,percolate-plus,0.6959156394004822,0.6932083964347839,0.5254944444444445,0.6231,0.5604,1,65,3,0.5,0.0,0.5,0.0,0.6111,0.01886961843811366,0.5006166666666667,0.05772400569376085,20,3,0.01,64

mlp,percolate-plus,0.6993786096572876,0.6958950161933899,0.5200555555555555,0.6544000000000001,0.5375,2,92,3,0.5,0.0,0.5,0.0,0.6384500000000001,0.0168643855506212,0.5083333333333333,0.03671843315466137,30,3,0.01,64

mlp,percolate-plus,0.6974006295204163,0.6934505701065063,0.4953555555555556,0.6204999999999999,0.5512,0,133,3,0.5,0.0,0.5,0.0,0.6105166666666666,0.00865625977737111,0.4863166666666667,0.06252612120812655,40,3,0.01,64

model,dataset,total_loss,cross_loss,auc_train,auc_valid,auc_test,seed,epoch,num_trials,valid_acc_mean,valid_acc_std,test_acc_mean,test_acc_std,valid_auc_mean,valid_auc_std,test_auc_mean,test_auc_std,extra_ucn,num_layer,l1_loss_lambda,num_channel

mlp,percolate-plus,1.0737617015838623,0.6900081038475037,0.6642444444444445,0.6563,0.6854,0,1,3,0.5166666666666667,0.028867513459481315,0.52,0.034641016151377574,0.6513166666666667,0.004486182489972186,0.6389666666666667,0.0564726777595443,0,3,0.01,64

mlp,percolate-plus,0.6951736211776733,0.6931483149528503,0.5398277777777778,0.63815,0.5859000000000001,1,52,3,0.5,0.0,0.5,0.0,0.6221833333333333,0.0261117470371734,0.5584666666666668,0.03961478049078823,10,3,0.01,64

mlp,percolate-plus,0.6959156394004822,0.6932083964347839,0.5254944444444445,0.6231,0.5604,1,65,3,0.5,0.0,0.5,0.0,0.6111,0.01886961843811366,0.5006166666666667,0.05772400569376085,20,3,0.01,64

mlp,percolate-plus,0.6993786096572876,0.6958950161933899,0.5200555555555555,0.6544000000000001,0.5375,2,92,3,0.5,0.0,0.5,0.0,0.6384500000000001,0.0168643855506212,0.5083333333333333,0.03671843315466137,30,3,0.01,64

mlp,percolate-plus,0.6974006295204163,0.6934505701065063,0.4953555555555556,0.6204999999999999,0.5512,0,133,3,0.5,0.0,0.5,0.0,0.6105166666666666,0.00865625977737111,0.4863166666666667,0.06252612120812655,40,3,0.01,64

mlp,percolate-plus,0.6981756687164307,0.6931476593017578,0.4783833333333333,0.6186999999999999,0.4845,2,46,3,0.5,0.0,0.5,0.0,0.6049000000000001,0.013486752759652613,0.5122833333333333,0.042658361821960936,50,3,0.01,64

model,dataset,total_loss,cross_loss,auc_train,auc_valid,auc_test,seed,epoch,num_trials,valid_acc_mean,valid_acc_std,test_acc_mean,test_acc_std,valid_auc_mean,valid_auc_std,test_auc_mean,test_auc_std,extra_ucn,num_layer,l1_loss_lambda,num_channel

mlp,percolate-plus,1.0737617015838623,0.6900081038475037,0.6642444444444445,0.6563,0.6854,0,1,3,0.5166666666666667,0.028867513459481315,0.52,0.034641016151377574,0.6513166666666667,0.004486182489972186,0.6389666666666667,0.0564726777595443,0,3,0.01,64

mlp,percolate-plus,0.6951736211776733,0.6931483149528503,0.5398277777777778,0.63815,0.5859000000000001,1,52,3,0.5,0.0,0.5,0.0,0.6221833333333333,0.0261117470371734,0.5584666666666668,0.03961478049078823,10,3,0.01,64

mlp,percolate-plus,0.6959156394004822,0.6932083964347839,0.5254944444444445,0.6231,0.5604,1,65,3,0.5,0.0,0.5,0.0,0.6111,0.01886961843811366,0.5006166666666667,0.05772400569376085,20,3,0.01,64

mlp,percolate-plus,0.6993786096572876,0.6958950161933899,0.5200555555555555,0.6544000000000001,0.5375,2,92,3,0.5,0.0,0.5,0.0,0.6384500000000001,0.0168643855506212,0.5083333333333333,0.03671843315466137,30,3,0.01,64

mlp,percolate-plus,0.6974006295204163,0.6934505701065063,0.4953555555555556,0.6204999999999999,0.5512,0,133,3,0.5,0.0,0.5,0.0,0.6105166666666666,0.00865625977737111,0.4863166666666667,0.06252612120812655,40,3,0.01,64

mlp,percolate-plus,0.6981756687164307,0.6931476593017578,0.4783833333333333,0.6186999999999999,0.4845,2,46,3,0.5,0.0,0.5,0.0,0.6049000000000001,0.013486752759652613,0.5122833333333333,0.042658361821960936,50,3,0.01,64

