model,dataset,total_loss,cross_loss,auc_train,auc_valid,auc_test,seed,epoch,num_trials,valid_acc_mean,valid_acc_std,test_acc_mean,test_acc_std,valid_auc_mean,valid_auc_std,test_auc_mean,test_auc_std,extra_ucn

random,percolate-plus,0.7132615447044373,0.7132615447044373,0.5083333333333333,0.62,0.5599999999999999,0,412,3,0.51,0.017320508075688787,0.4966666666666666,0.020207259421636918,0.6149999999999999,0.008660254037844362,0.5066666666666667,0.07973915809270454,0

model,dataset,total_loss,cross_loss,auc_train,auc_valid,auc_test,seed,epoch,num_trials,valid_acc_mean,valid_acc_std,test_acc_mean,test_acc_std,valid_auc_mean,valid_auc_std,test_auc_mean,test_auc_std,extra_ucn

random,percolate-plus,0.7132615447044373,0.7132615447044373,0.5083333333333333,0.62,0.5599999999999999,0,412,3,0.51,0.017320508075688787,0.4966666666666666,0.020207259421636918,0.6149999999999999,0.008660254037844362,0.5066666666666667,0.07973915809270454,0

random,percolate-plus,0.7132615447044373,0.7132615447044373,0.4983333333333334,0.6200000000000001,0.505,0,384,3,0.5083333333333333,0.03785938897200183,0.48833333333333334,0.05346338310781815,0.6166666666666667,0.0028867513459481953,0.47666666666666674,0.02753785273643051,10

model,dataset,total_loss,cross_loss,auc_train,auc_valid,auc_test,seed,epoch,num_trials,valid_acc_mean,valid_acc_std,test_acc_mean,test_acc_std,valid_auc_mean,valid_auc_std,test_auc_mean,test_auc_std,extra_ucn

random,percolate-plus,0.7132615447044373,0.7132615447044373,0.5083333333333333,0.62,0.5599999999999999,0,412,3,0.51,0.017320508075688787,0.4966666666666666,0.020207259421636918,0.6149999999999999,0.008660254037844362,0.5066666666666667,0.07973915809270454,0

random,percolate-plus,0.7132615447044373,0.7132615447044373,0.4983333333333334,0.6200000000000001,0.505,0,384,3,0.5083333333333333,0.03785938897200183,0.48833333333333334,0.05346338310781815,0.6166666666666667,0.0028867513459481953,0.47666666666666674,0.02753785273643051,10

random,percolate-plus,0.8132616281509399,0.8132616281509399,0.4683333333333334,0.635,0.5,1,247,3,0.5016666666666666,0.033291640592397,0.5366666666666667,0.03175426480542944,0.62,0.013228756555323008,0.5066666666666667,0.05530220007679018,20

model,dataset,total_loss,cross_loss,auc_train,auc_valid,auc_test,seed,epoch,num_trials,valid_acc_mean,valid_acc_std,test_acc_mean,test_acc_std,valid_auc_mean,valid_auc_std,test_auc_mean,test_auc_std,extra_ucn

random,percolate-plus,0.7132615447044373,0.7132615447044373,0.5083333333333333,0.62,0.5599999999999999,0,412,3,0.51,0.017320508075688787,0.4966666666666666,0.020207259421636918,0.6149999999999999,0.008660254037844362,0.5066666666666667,0.07973915809270454,0

random,percolate-plus,0.7132615447044373,0.7132615447044373,0.4983333333333334,0.6200000000000001,0.505,0,384,3,0.5083333333333333,0.03785938897200183,0.48833333333333334,0.05346338310781815,0.6166666666666667,0.0028867513459481953,0.47666666666666674,0.02753785273643051,10

random,percolate-plus,0.8132616281509399,0.8132616281509399,0.4683333333333334,0.635,0.5,1,247,3,0.5016666666666666,0.033291640592397,0.5366666666666667,0.03175426480542944,0.62,0.013228756555323008,0.5066666666666667,0.05530220007679018,20

random,percolate-plus,0.7132615447044373,0.7132615447044373,0.5133333333333333,0.6099999999999999,0.485,2,49,3,0.5216666666666666,0.029297326385411604,0.4916666666666667,0.025658007197234444,0.5983333333333333,0.010408329997330566,0.4566666666666667,0.02565800719723439,30

model,dataset,total_loss,cross_loss,auc_train,auc_valid,auc_test,seed,epoch,num_trials,valid_acc_mean,valid_acc_std,test_acc_mean,test_acc_std,valid_auc_mean,valid_auc_std,test_auc_mean,test_auc_std,extra_ucn

random,percolate-plus,0.7132615447044373,0.7132615447044373,0.5083333333333333,0.62,0.5599999999999999,0,412,3,0.51,0.017320508075688787,0.4966666666666666,0.020207259421636918,0.6149999999999999,0.008660254037844362,0.5066666666666667,0.07973915809270454,0

random,percolate-plus,0.7132615447044373,0.7132615447044373,0.4983333333333334,0.6200000000000001,0.505,0,384,3,0.5083333333333333,0.03785938897200183,0.48833333333333334,0.05346338310781815,0.6166666666666667,0.0028867513459481953,0.47666666666666674,0.02753785273643051,10

random,percolate-plus,0.8132616281509399,0.8132616281509399,0.4683333333333334,0.635,0.5,1,247,3,0.5016666666666666,0.033291640592397,0.5366666666666667,0.03175426480542944,0.62,0.013228756555323008,0.5066666666666667,0.05530220007679018,20

random,percolate-plus,0.7132615447044373,0.7132615447044373,0.5133333333333333,0.6099999999999999,0.485,2,49,3,0.5216666666666666,0.029297326385411604,0.4916666666666667,0.025658007197234444,0.5983333333333333,0.010408329997330566,0.4566666666666667,0.02565800719723439,30

random,percolate-plus,0.6132615804672241,0.6132615804672241,0.5066666666666666,0.625,0.5700000000000001,2,3,3,0.5083333333333334,0.06251666444503681,0.505,0.015000000000000013,0.6133333333333334,0.012583057392117876,0.5416666666666667,0.033291640592397,40

model,dataset,total_loss,cross_loss,auc_train,auc_valid,auc_test,seed,epoch,num_trials,valid_acc_mean,valid_acc_std,test_acc_mean,test_acc_std,valid_auc_mean,valid_auc_std,test_auc_mean,test_auc_std,extra_ucn

random,percolate-plus,0.7132615447044373,0.7132615447044373,0.5083333333333333,0.62,0.5599999999999999,0,412,3,0.51,0.017320508075688787,0.4966666666666666,0.020207259421636918,0.6149999999999999,0.008660254037844362,0.5066666666666667,0.07973915809270454,0

