model,dataset,total_loss,cross_loss,auc_train,auc_valid,auc_test,seed,epoch,num_trials,valid_acc_mean,valid_acc_std,test_acc_mean,test_acc_std,valid_auc_mean,valid_auc_std,test_auc_mean,test_auc_std,extra_ucn,use_emb,num_layer,num_channel

cgn_no_pool,percolate-plus,7.05718994140625e-05,7.05718994140625e-05,1.0,0.9987000000000001,0.9938,0,285,3,0.9533333333333333,0.017559422921421187,0.9516666666666665,0.012583057392117928,0.9945666666666667,0.00362950869035107,0.9935333333333333,0.0002516611478423821,0,32,3,32

model,dataset,total_loss,cross_loss,auc_train,auc_valid,auc_test,seed,epoch,num_trials,valid_acc_mean,valid_acc_std,test_acc_mean,test_acc_std,valid_auc_mean,valid_auc_std,test_auc_mean,test_auc_std,extra_ucn,use_emb,num_layer,num_channel

cgn_no_pool,percolate-plus,7.05718994140625e-05,7.05718994140625e-05,1.0,0.9987000000000001,0.9938,0,285,3,0.9533333333333333,0.017559422921421187,0.9516666666666665,0.012583057392117928,0.9945666666666667,0.00362950869035107,0.9935333333333333,0.0002516611478423821,0,32,3,32

cgn_no_pool,percolate-plus,2.3555756342830136e-05,2.3555756342830136e-05,1.0,0.9907,0.9831,0,451,3,0.9183333333333333,0.005773502691896262,0.9266666666666666,0.017559422921421187,0.9818666666666666,0.007663115119410196,0.9832333333333333,0.0015044378795196283,10,32,3,32

model,dataset,total_loss,cross_loss,auc_train,auc_valid,auc_test,seed,epoch,num_trials,valid_acc_mean,valid_acc_std,test_acc_mean,test_acc_std,valid_auc_mean,valid_auc_std,test_auc_mean,test_auc_std,extra_ucn,use_emb,num_layer,num_channel

cgn_no_pool,percolate-plus,7.05718994140625e-05,7.05718994140625e-05,1.0,0.9987000000000001,0.9938,0,285,3,0.9533333333333333,0.017559422921421187,0.9516666666666665,0.012583057392117928,0.9945666666666667,0.00362950869035107,0.9935333333333333,0.0002516611478423821,0,32,3,32

cgn_no_pool,percolate-plus,2.3555756342830136e-05,2.3555756342830136e-05,1.0,0.9907,0.9831,0,451,3,0.9183333333333333,0.005773502691896262,0.9266666666666666,0.017559422921421187,0.9818666666666666,0.007663115119410196,0.9832333333333333,0.0015044378795196283,10,32,3,32

cgn_no_pool,percolate-plus,4.76837158203125e-07,4.76837158203125e-07,1.0,0.9668000000000001,0.9699,2,495,3,0.9066666666666666,0.00763762615825974,0.915,0.015000000000000013,0.9660000000000001,0.0012165525060596743,0.9759666666666668,0.0075341444991009355,20,32,3,32

model,dataset,total_loss,cross_loss,auc_train,auc_valid,auc_test,seed,epoch,num_trials,valid_acc_mean,valid_acc_std,test_acc_mean,test_acc_std,valid_auc_mean,valid_auc_std,test_auc_mean,test_auc_std,extra_ucn,use_emb,num_layer,num_channel

cgn_no_pool,percolate-plus,7.05718994140625e-05,7.05718994140625e-05,1.0,0.9987000000000001,0.9938,0,285,3,0.9533333333333333,0.017559422921421187,0.9516666666666665,0.012583057392117928,0.9945666666666667,0.00362950869035107,0.9935333333333333,0.0002516611478423821,0,32,3,32

cgn_no_pool,percolate-plus,2.3555756342830136e-05,2.3555756342830136e-05,1.0,0.9907,0.9831,0,451,3,0.9183333333333333,0.005773502691896262,0.9266666666666666,0.017559422921421187,0.9818666666666666,0.007663115119410196,0.9832333333333333,0.0015044378795196283,10,32,3,32

cgn_no_pool,percolate-plus,4.76837158203125e-07,4.76837158203125e-07,1.0,0.9668000000000001,0.9699,2,495,3,0.9066666666666666,0.00763762615825974,0.915,0.015000000000000013,0.9660000000000001,0.0012165525060596743,0.9759666666666668,0.0075341444991009355,20,32,3,32

cgn_no_pool,percolate-plus,1.9073486612342094e-07,1.9073486612342094e-07,0.9998111111111111,0.9585,0.9512999999999999,1,444,3,0.8666666666666667,0.020207259421636918,0.8649999999999999,0.021794494717703387,0.9419333333333334,0.016962998948692184,0.9425333333333333,0.007619930008427398,30,32,3,32

model,dataset,total_loss,cross_loss,auc_train,auc_valid,auc_test,seed,epoch,num_trials,valid_acc_mean,valid_acc_std,test_acc_mean,test_acc_std,valid_auc_mean,valid_auc_std,test_auc_mean,test_auc_std,extra_ucn,use_emb,num_layer,num_channel

cgn_no_pool,percolate-plus,7.05718994140625e-05,7.05718994140625e-05,1.0,0.9987000000000001,0.9938,0,285,3,0.9533333333333333,0.017559422921421187,0.9516666666666665,0.012583057392117928,0.9945666666666667,0.00362950869035107,0.9935333333333333,0.0002516611478423821,0,32,3,32

cgn_no_pool,percolate-plus,2.3555756342830136e-05,2.3555756342830136e-05,1.0,0.9907,0.9831,0,451,3,0.9183333333333333,0.005773502691896262,0.9266666666666666,0.017559422921421187,0.9818666666666666,0.007663115119410196,0.9832333333333333,0.0015044378795196283,10,32,3,32

cgn_no_pool,percolate-plus,4.76837158203125e-07,4.76837158203125e-07,1.0,0.9668000000000001,0.9699,2,495,3,0.9066666666666666,0.00763762615825974,0.915,0.015000000000000013,0.9660000000000001,0.0012165525060596743,0.9759666666666668,0.0075341444991009355,20,32,3,32

cgn_no_pool,percolate-plus,1.9073486612342094e-07,1.9073486612342094e-07,0.9998111111111111,0.9585,0.9512999999999999,1,444,3,0.8666666666666667,0.020207259421636918,0.8649999999999999,0.021794494717703387,0.9419333333333334,0.016962998948692184,0.9425333333333333,0.007619930008427398,30,32,3,32

