model,dataset,total_loss,cross_loss,auc_train,auc_valid,auc_test,seed,epoch,num_trials,valid_acc_mean,valid_acc_std,test_acc_mean,test_acc_std,valid_auc_mean,valid_auc_std,test_auc_mean,test_auc_std,extra_ucn,num_layer

lr_no_l1,percolate-plus,0.6480774879455566,0.6480774879455566,0.5950777777777778,0.6169,0.5975,2,162,3,0.5566666666666668,0.005773502691896262,0.6033333333333333,0.029297326385411604,0.5864666666666667,0.026460599640471722,0.6052333333333334,0.008298393418809032,0,0

model,dataset,total_loss,cross_loss,auc_train,auc_valid,auc_test,seed,epoch,num_trials,valid_acc_mean,valid_acc_std,test_acc_mean,test_acc_std,valid_auc_mean,valid_auc_std,test_auc_mean,test_auc_std,extra_ucn,num_layer

lr_no_l1,percolate-plus,0.6480774879455566,0.6480774879455566,0.5950777777777778,0.6169,0.5975,2,162,3,0.5566666666666668,0.005773502691896262,0.6033333333333333,0.029297326385411604,0.5864666666666667,0.026460599640471722,0.6052333333333334,0.008298393418809032,0,0

lr_no_l1,percolate-plus,0.679239809513092,0.679239809513092,0.5593666666666667,0.612,0.49990000000000007,1,10,3,0.5216666666666667,0.016072751268321604,0.5483333333333333,0.00763762615825974,0.5830666666666666,0.04560113302685946,0.5356000000000001,0.03146569560648545,10,0

model,dataset,total_loss,cross_loss,auc_train,auc_valid,auc_test,seed,epoch,num_trials,valid_acc_mean,valid_acc_std,test_acc_mean,test_acc_std,valid_auc_mean,valid_auc_std,test_auc_mean,test_auc_std,extra_ucn,num_layer

lr_no_l1,percolate-plus,0.6480774879455566,0.6480774879455566,0.5950777777777778,0.6169,0.5975,2,162,3,0.5566666666666668,0.005773502691896262,0.6033333333333333,0.029297326385411604,0.5864666666666667,0.026460599640471722,0.6052333333333334,0.008298393418809032,0,0

lr_no_l1,percolate-plus,0.679239809513092,0.679239809513092,0.5593666666666667,0.612,0.49990000000000007,1,10,3,0.5216666666666667,0.016072751268321604,0.5483333333333333,0.00763762615825974,0.5830666666666666,0.04560113302685946,0.5356000000000001,0.03146569560648545,10,0

lr_no_l1,percolate-plus,0.7578989863395691,0.7578989863395691,0.6196222222222223,0.6018,0.6504,2,439,3,0.56,0.004999999999999949,0.6133333333333333,0.010408329997330672,0.5718,0.026556543449778994,0.6405333333333333,0.019295163469982172,20,0

model,dataset,total_loss,cross_loss,auc_train,auc_valid,auc_test,seed,epoch,num_trials,valid_acc_mean,valid_acc_std,test_acc_mean,test_acc_std,valid_auc_mean,valid_auc_std,test_auc_mean,test_auc_std,extra_ucn,num_layer

lr_no_l1,percolate-plus,0.6480774879455566,0.6480774879455566,0.5950777777777778,0.6169,0.5975,2,162,3,0.5566666666666668,0.005773502691896262,0.6033333333333333,0.029297326385411604,0.5864666666666667,0.026460599640471722,0.6052333333333334,0.008298393418809032,0,0

lr_no_l1,percolate-plus,0.679239809513092,0.679239809513092,0.5593666666666667,0.612,0.49990000000000007,1,10,3,0.5216666666666667,0.016072751268321604,0.5483333333333333,0.00763762615825974,0.5830666666666666,0.04560113302685946,0.5356000000000001,0.03146569560648545,10,0

lr_no_l1,percolate-plus,0.7578989863395691,0.7578989863395691,0.6196222222222223,0.6018,0.6504,2,439,3,0.56,0.004999999999999949,0.6133333333333333,0.010408329997330672,0.5718,0.026556543449778994,0.6405333333333333,0.019295163469982172,20,0

lr_no_l1,percolate-plus,0.4817391037940979,0.4817391037940979,0.6387666666666667,0.6086999999999999,0.5856,0,47,3,0.5383333333333334,0.0028867513459481316,0.5566666666666668,0.0028867513459481316,0.5855666666666667,0.021609565783081618,0.6023000000000001,0.015254179755070428,30,0

model,dataset,total_loss,cross_loss,auc_train,auc_valid,auc_test,seed,epoch,num_trials,valid_acc_mean,valid_acc_std,test_acc_mean,test_acc_std,valid_auc_mean,valid_auc_std,test_auc_mean,test_auc_std,extra_ucn,num_layer

lr_no_l1,percolate-plus,0.6480774879455566,0.6480774879455566,0.5950777777777778,0.6169,0.5975,2,162,3,0.5566666666666668,0.005773502691896262,0.6033333333333333,0.029297326385411604,0.5864666666666667,0.026460599640471722,0.6052333333333334,0.008298393418809032,0,0

lr_no_l1,percolate-plus,0.679239809513092,0.679239809513092,0.5593666666666667,0.612,0.49990000000000007,1,10,3,0.5216666666666667,0.016072751268321604,0.5483333333333333,0.00763762615825974,0.5830666666666666,0.04560113302685946,0.5356000000000001,0.03146569560648545,10,0

lr_no_l1,percolate-plus,0.7578989863395691,0.7578989863395691,0.6196222222222223,0.6018,0.6504,2,439,3,0.56,0.004999999999999949,0.6133333333333333,0.010408329997330672,0.5718,0.026556543449778994,0.6405333333333333,0.019295163469982172,20,0

lr_no_l1,percolate-plus,0.4817391037940979,0.4817391037940979,0.6387666666666667,0.6086999999999999,0.5856,0,47,3,0.5383333333333334,0.0028867513459481316,0.5566666666666668,0.0028867513459481316,0.5855666666666667,0.021609565783081618,0.6023000000000001,0.015254179755070428,30,0

lr_no_l1,percolate-plus,0.6438182592391968,0.6438182592391968,0.6115444444444444,0.5566000000000001,0.5252,0,7,3,0.5316666666666667,0.00763762615825974,0.5333333333333333,0.00763762615825974,0.5428333333333334,0.01225819453807675,0.515,0.01030145620774076,40,0

model,dataset,total_loss,cross_loss,auc_train,auc_valid,auc_test,seed,epoch,num_trials,valid_acc_mean,valid_acc_std,test_acc_mean,test_acc_std,valid_auc_mean,valid_auc_std,test_auc_mean,test_auc_std,extra_ucn,num_layer

